target_N,n_lower_partners,band_width_start,band_width_final,band_width_ratio
77124608,1,0.06777641210297825,0.07025520733681212,0.9647172739530862
134561280,2,0.0637503911421129,0.06469888822678738,0.985339824057722
287183360,3,0.06765497228817363,0.06960284653975757,0.9720144455518598
610488320,4,2.2189568750639745,2.257932253879135,0.9827384640313276
