scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr0.0001,wd0.0",2,"lr=1e-05, wd=0.01",212025176680.9391,12
[8],0,"lr0.0001,wd0.01",10,"lr=0.001, wd=0.01",25624953392.1627,1
[8],0,"lr0.0001,wd0.01",11,"lr=0.003, wd=0.0",28890376260.0978,2
[8],0,"lr0.0001,wd0.01",9,"lr=0.001, wd=0.0",35310184570.6257,3
[8],0,"lr0.0001,wd0.01",7,"lr=3e-04, wd=0.0",39898308877.9772,4
[8],0,"lr0.0001,wd0.01",12,"lr=0.003, wd=0.01",42911540212.1499,5
[8],0,"lr0.0001,wd0.01",5,"lr=1e-04, wd=0.0",58811243671.3946,6
[8],0,"lr0.0001,wd0.01",8,"lr=3e-04, wd=0.01",59852509148.7377,7
[8],0,"lr0.0001,wd0.01",6,"lr=1e-04, wd=0.01",85873885114.2929,8
[8],0,"lr0.0001,wd0.01",3,"lr=3e-05, wd=0.0",104261135634.9257,9
[8],0,"lr0.0001,wd0.01",4,"lr=3e-05, wd=0.01",128585229384.1277,10
[8],0,"lr0.0001,wd0.01",1,"lr=1e-05, wd=0.0",190023497135.4917,11
[8],0,"lr0.0001,wd0.01",2,"lr=1e-05, wd=0.01",206749723625.5846,12
[8],0,"lr0.0003,wd0.0",10,"lr=0.001, wd=0.01",14961572492.4185,1
[8],0,"lr0.0003,wd0.0",11,"lr=0.003, wd=0.0",18551775666.7897,2
[8],0,"lr0.0003,wd0.0",9,"lr=0.001, wd=0.0",22707987758.2874,3
[8],0,"lr0.0003,wd0.0",7,"lr=3e-04, wd=0.0",25832950608.0,4
[8],0,"lr0.0003,wd0.0",12,"lr=0.003, wd=0.01",30123203608.0307,5
[8],0,"lr0.0003,wd0.0",5,"lr=1e-04, wd=0.0",40555544852.7266,6
[8],0,"lr0.0003,wd0.0",8,"lr=3e-04, wd=0.01",41642765418.2771,7
[8],0,"lr0.0003,wd0.0",6,"lr=1e-04, wd=0.01",63037932153.0545,8
[8],0,"lr0.0003,wd0.0",3,"lr=3e-05, wd=0.0",79327136921.6593,9
[8],0,"lr0.0003,wd0.0",4,"lr=3e-05, wd=0.01",100155992119.7476,10
[8],0,"lr0.0003,wd0.0",1,"lr=1e-05, wd=0.0",154162818519.8201,11
[8],0,"lr0.0003,wd0.0",2,"lr=1e-05, wd=0.01",167060442467.0757,12
[8],0,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",28108259236.0901,1
[8],0,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",32269821524.6261,2
[8],0,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",37956209284.5002,3
[8],0,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",42143228565.3561,4
[8],0,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",47998554844.2744,5
[8],0,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",60824098295.9272,6
[8],0,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",62404559160.7677,7
[8],0,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",88085069453.9494,8
[8],0,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",106655375274.0175,9
[8],0,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",130928717149.0506,10
[8],0,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",191211308847.9309,11
[8],0,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",206984362634.1349,12
[8],0,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",10480658580.2392,1
[8],0,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",14105229780.7558,2
[8],0,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",16915078914.0699,3
[8],0,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",19387889898.5476,4
[8],0,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",25008051667.3941,5
[8],0,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",32023958211.982,6
[8],0,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",33173861607.6029,7
[8],0,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",52142333440.6602,8
[8],0,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",67030299977.999,9
