policy,obs_frac,t_target,query_target_N,n_configs,regret,normalized_regret,oracle_loss,selected_loss,top1_overlap,top1_hit_rate,top1_best_in_pred,top3_overlap,top3_hit_rate,top3_best_in_pred,top5_overlap,top5_hit_rate,top5_best_in_pred
all_lower_only,0.05,0.1,77124608,24,0.0038302040100099966,0.007893986147836126,2.1620161151885986,2.1658463191986086,0,0.0,0,2,0.6666666666666666,1,2,0.4,1
all_lower_only,0.05,0.1,134561280,27,0.0,0.0,1.970188468694687,1.970188468694687,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.05,0.1,287183360,35,0.0021545147895813965,0.007179125459890842,1.8571431255340576,1.859297640323639,0,0.0,0,3,1.0,1,3,0.6,1
all_lower_only,0.05,0.1,610488320,8,0.0,0.0,1.993753422498703,1.993753422498703,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.05,0.2,77124608,24,0.006080256959666297,0.02243820835654963,2.102961665899857,2.1090419228595234,0,0.0,0,0,0.0,0,2,0.4,0
all_lower_only,0.05,0.2,134561280,27,0.0,0.0,1.9417323125963626,1.9417323125963626,1,1.0,1,3,1.0,1,3,0.6,1
all_lower_only,0.05,0.2,287183360,35,0.004731265627819781,0.01928062797488011,1.7937163145023842,1.798447580130204,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.2,610488320,8,0.0057924120944479185,0.024205741063871137,1.8824997740413831,1.888292186135831,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.05,0.3,77124608,24,0.014541730631952632,0.06499345470080523,2.061852360227834,2.0763940908597864,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.3,134561280,27,0.0071724283695220326,0.022011093143567806,1.918067497688791,1.925239926058313,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.3,287183360,35,0.00933426380157476,0.041312479136964654,1.7527006153231082,1.762034879124683,0,0.0,0,2,0.6666666666666666,0,3,0.6,0
all_lower_only,0.05,0.3,610488320,8,0.014733158505481292,0.06715245656168146,1.8156102368313334,1.8303433953368147,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.05,0.4,77124608,24,0.015708704616712588,0.07433888999523099,2.036208664127018,2.0519173687437307,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.4,134561280,27,0.004155031701792877,0.013935358954322359,1.9002963506657145,1.9044513823675073,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.4,287183360,35,0.010507490510525797,0.0489510089923157,1.7278004993148472,1.738307989825373,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
all_lower_only,0.05,0.4,610488320,8,0.017698025724162125,0.10900090638847232,1.7756687966015028,1.793366822325665,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.5,77124608,24,0.016674825668335114,0.08446702525012423,2.0169719080717665,2.0336467337401016,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.5,134561280,27,0.0,0.0,1.8854584382927937,1.8854584382927937,1,1.0,1,1,0.3333333333333333,1,3,0.6,1
all_lower_only,0.05,0.5,287183360,35,0.012044902407604807,0.05943789669896055,1.7078543041685352,1.71989920657614,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.05,0.5,610488320,8,0.02173243062392527,0.137451998880166,1.7426619313281515,1.7643943619520768,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.6,77124608,24,0.017774060912754575,0.09491892468709011,2.0005139566504435,2.018288017563198,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.6,134561280,27,0.024739271837731946,0.09695780905750513,1.8712962215361388,1.8960354933738708,0,0.0,0,1,0.3333333333333333,1,3,0.6,1
all_lower_only,0.05,0.6,287183360,35,0.012821251226508013,0.06496128843381986,1.6918271078234135,1.7046483590499215,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.05,0.6,610488320,8,0.05709798488409623,0.3030245619560236,1.6846248105712558,1.741722795455352,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.7,77124608,24,0.017094459471495016,0.09527695160424336,1.9884876050327136,2.0055820645042086,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.7,134561280,27,0.04180582324318283,0.17230374021664843,1.8591603194112363,1.900966142654419,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
all_lower_only,0.05,0.7,287183360,35,0.014300454554350583,0.07414939180533858,1.6781197503131369,1.6924202048674875,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.05,0.7,610488320,8,0.034898977424787425,0.21786077070149976,1.6889800547309544,1.7238790321557418,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.8,77124608,24,0.017328323882559227,0.10161996241683115,1.978469957559005,1.9957982814415642,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.8,134561280,27,0.041219136860059846,0.17778861443802646,1.849080094669176,1.890299231529236,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
all_lower_only,0.05,0.8,287183360,35,0.013968315787937335,0.0734714474699391,1.667962272685507,1.6819305884734443,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.05,0.8,610488320,8,0.055415254157522575,0.31325359845090534,1.6539893757156703,1.7094046298731929,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.05,0.9,77124608,24,0.0191523480622664,0.11359997955139997,1.9360440122977547,1.955196360360021,0,0.0,0,0,0.0,0,3,0.6,1
all_lower_only,0.05,0.9,134561280,27,0.03538575936400368,0.15416277989878602,1.8139769964114478,1.8493627557754515,0,0.0,0,1,0.3333333333333333,0,4,0.8,0
all_lower_only,0.05,0.9,287183360,35,0.01603187502985426,0.09288238413605622,1.6361752475240956,1.6522071225539499,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.05,0.9,610488320,8,0.03372758512911589,0.270381017411723,1.6386038445286129,1.6723314296577287,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.05,1.0,77124608,24,0.020724892616271973,0.12058194610423344,1.8988457918167114,1.9195706844329834,0,0.0,0,0,0.0,0,3,0.6,0
