policy,query_target_N,mean_spearman_rho,median_spearman_rho,n_obs_fracs,n_configs
all_lower_only,77124608,0.8265217391304347,0.8508695652173912,4,24
all_lower_only,134561280,0.9203296703296703,0.9386446886446886,4,27
all_lower_only,287183360,0.8431372549019608,0.8544817927170869,4,35
all_lower_only,610488320,0.1666666666666667,0.19047619047619052,4,8
bracket_nearest,77124608,0.9145652173913043,0.9317391304347825,4,24
bracket_nearest,134561280,0.8989621489621489,0.9178876678876678,4,27
bracket_nearest,287183360,0.8260504201680673,0.8413165266106443,4,35
