target_N,nearest_partner_target_N,band_width_start,band_width_final,band_width_ratio
77124608,32270848,0.06792157940998367,0.07030076298438148,0.9661570732180191
134561280,77124608,0.06641718395369356,0.06865619193832373,0.9673881128355976
287183360,134561280,0.06257498900892555,0.06454900261933294,0.9694183716199488
610488320,287183360,0.3764250343579001,0.6738111806123646,0.5586506208101241
