policy,trajectory_id,obs_frac,query_target_N,base_N,shrink,tkpm,context_size,loss_log_min,loss_log_max,band_width_start,band_width_final,band_width_ratio
all_context_oracle,6,0.9,32270848,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.1351447063302591,0.13680461220489004,0.9878665942041126
all_context_oracle,19,0.9,77124608,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.11403471225524564,0.11561388173248455,0.986341004613158
all_context_oracle,28,0.9,134561280,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.1238795626433229,0.1265246396289461,0.9790943725002471
all_context_oracle,39,0.9,287183360,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.09574577578191756,0.09707310981749884,0.9863264498471646
all_context_oracle,52,0.9,610488320,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.10755537886921251,0.10706657709189749,1.0045654002452649
bracket_nearest,19,0.05,77124608,14562560,0.4,20.0,43,0.47629245805338843,2.396492735247787,0.243013989862221,0.22651785667971813,1.0728248687511968
bracket_nearest,19,0.1,77124608,14562560,0.4,20.0,43,0.47629245805338843,2.396492735247787,0.10896812586783566,0.20814677239634127,0.5235158086446074
bracket_nearest,19,0.2,77124608,14562560,0.4,20.0,43,0.47629245805338843,2.396492735247787,0.1009797277579314,0.19562424444467474,0.5161922953087232
bracket_nearest,19,0.5,77124608,14562560,0.4,20.0,43,0.47629245805338843,2.396492735247787,0.09880066583406766,0.1442885971023684,0.684743408822331
bracket_nearest,19,0.9,77124608,14562560,0.4,20.0,43,0.47629245805338843,2.396492735247787,0.10817197906961651,0.1121372479274958,0.9646391459469105
bracket_nearest,28,0.05,134561280,14562560,0.4,20.0,60,0.47629245805338843,2.396492735247787,0.7124533430186708,0.29229098786475505,2.437479678122432
bracket_nearest,28,0.1,134561280,14562560,0.4,20.0,60,0.47629245805338843,2.396492735247787,0.36694960806612764,0.24330566728742742,1.5081835625005575
bracket_nearest,28,0.2,134561280,14562560,0.4,20.0,60,0.47629245805338843,2.396492735247787,0.22914190858860062,0.22377148716557604,1.023999578726716
bracket_nearest,28,0.5,134561280,14562560,0.4,20.0,60,0.47629245805338843,2.396492735247787,0.1840948581929287,0.21100850495523393,0.8724523129149935
bracket_nearest,28,0.9,134561280,14562560,0.4,20.0,60,0.47629245805338843,2.396492735247787,0.1873107228268558,0.18261205029149252,1.02573035310574
bracket_nearest,39,0.05,287183360,14562560,0.4,20.0,36,0.47629245805338843,2.396492735247787,0.18881203435961247,0.522897808496247,0.3610878288103738
bracket_nearest,39,0.1,287183360,14562560,0.4,20.0,36,0.47629245805338843,2.396492735247787,0.1414682207239082,0.5974397203296009,0.23679078559735153
bracket_nearest,39,0.2,287183360,14562560,0.4,20.0,36,0.47629245805338843,2.396492735247787,0.14722750599727008,0.6331746783319303,0.23252273193415474
bracket_nearest,39,0.5,287183360,14562560,0.4,20.0,36,0.47629245805338843,2.396492735247787,0.1263104662099097,0.21012721057167183,0.6011142767577298
bracket_nearest,39,0.9,287183360,14562560,0.4,20.0,36,0.47629245805338843,2.396492735247787,0.11179191380865694,0.11464032837117122,0.9751534682167696
prefix_only,6,0.9,32270848,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.0880255138833852,0.09936910959223955,0.8858438426649619
prefix_only,19,0.9,77124608,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.09014622248233728,0.10318707444894382,0.8736193264878437
prefix_only,28,0.9,134561280,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.0841776649025825,0.09085622194994913,0.9264931239266616
prefix_only,39,0.9,287183360,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.15046527004484722,0.8276504515404859,0.18179808851042106
prefix_only,52,0.9,610488320,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,1.0789214951910504,2.9817774538723296,0.36183837052959567
