tokens,flops,Train Loss,Validation Loss,tkpm,base_N,target_N,shrink,max_lr,n_embd,n_head,method,shrinking,post_hoc_df,g_width,g_N
13041664,2525193339666432.0,3.3990697860717773,3.2700421810150146,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
13697024,2652087477338112.0,3.427156925201416,3.2479562759399414,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
14352384,2778981615009792.0,3.465275764465332,3.227520704269409,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
15007744,2905875752681472.0,3.559800148010254,3.206705093383789,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
15663104,3032769890353152.0,2.6201603412628174,3.1914443969726562,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
16318464,3159664028024832.0,3.125598430633545,3.1683096885681152,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
16973824,3286558165696512.0,3.1096296310424805,3.152824878692627,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
17629184,3413452303368192.0,2.8679609298706055,3.134931802749634,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
18284544,3540346441039872.0,2.906989574432373,3.1242716312408447,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
18939904,3667240578711552.0,2.906831741333008,3.1068625450134277,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
19595264,3794134716383232.0,2.7563700675964355,3.091902732849121,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
20250624,3921028854054912.0,3.0671539306640625,3.0797948837280273,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
20905984,4047922991726592.0,2.881030559539795,3.068058967590332,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
21561344,4174817129398272.0,2.618776798248291,3.055482864379883,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
22216704,4301711267069952.0,2.4864296913146973,3.046781539916992,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
22872064,4428605404741632.0,2.745642900466919,3.0334532260894775,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
23527424,4555499542413312.0,2.9845950603485107,3.023324966430664,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
24182784,4682393680084992.0,3.16159725189209,3.0160226821899414,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
24838144,4809287817756672.0,3.3822224140167236,3.005689859390259,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
25493504,4936181955428352.0,3.1901021003723145,2.99769926071167,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
26148864,5063076093100032.0,2.8362045288085938,2.9882140159606934,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
26804224,5189970230771712.0,2.4615626335144043,2.981980800628662,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
27459584,5316864368443392.0,2.560434341430664,2.973527431488037,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
28114944,5443758506115072.0,2.8089966773986816,2.965024471282959,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
28770304,5570652643786752.0,2.995157480239868,2.955014705657959,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
29425664,5697546781458432.0,3.012622356414795,2.950901508331299,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
30081024,5824440919130112.0,2.8965141773223877,2.939211368560791,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
30736384,5951335056801792.0,2.81438946723938,2.933741807937622,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
31391744,6078229194473472.0,2.8391456604003906,2.9279427528381348,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
32047104,6205123332145152.0,2.855795383453369,2.9232120513916016,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
32702464,6332017469816832.0,2.9606475830078125,2.9172005653381348,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
33357824,6458911607488512.0,2.5900745391845703,2.9095282554626465,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
34013184,6585805745160192.0,2.7977046966552734,2.9041547775268555,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
34668544,6712699882831872.0,2.8303980827331543,2.8993215560913086,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
