run_key,obs,ctx_134561280_relerr,ctx_134561280_in_ci,ctx_287183360_relerr,ctx_287183360_in_ci,ctx_32270848_relerr,ctx_32270848_in_ci,ctx_77124608_relerr,ctx_77124608_in_ci,mean_relerr,std_relerr,min_relerr,max_relerr,coverage_rate,context_sensitivity
base14562560_target610488320_lr0.003_shrink0.2_tkpm10.0_emb2048_head32_gw16.0_gn41.92177199613255,0,76.96056755968644,1,10.006088960180245,1,102.66837661476158,1,86.96418852649883,1,69.14980541528178,35.3547523760446,10.006088960180245,102.66837661476158,1.0,92.66228765458133
base14562560_target610488320_lr0.003_shrink0.2_tkpm10.0_emb2048_head32_gw16.0_gn41.92177199613255,20,6.282459626209526,1,2.114922222848393,1,7.661537114441767,1,7.239464653046832,1,5.824595904136629,2.199291056021979,2.114922222848393,7.661537114441767,1.0,5.546614891593374
base14562560_target610488320_lr0.003_shrink0.2_tkpm10.0_emb2048_head32_gw16.0_gn41.92177199613255,50,4.666056924434042,1,3.219401269640499,1,4.71615568339744,1,4.574403099974568,1,4.294004244361637,0.6225010252476735,3.219401269640499,4.71615568339744,1.0,1.4967544137569404
base14562560_target610488320_lr0.003_shrink0.2_tkpm10.0_emb2048_head32_gw16.0_gn41.92177199613255,90,0.04560008981088298,1,0.3621758708199338,1,0.2700634191451205,1,0.04822314853860622,1,0.18151563207863586,0.13849075172609962,0.04560008981088298,0.3621758708199338,1.0,0.3165757810090508
base14562560_target610488320_lr0.003_shrink0.2_tkpm20.0_emb2048_head32_gw16.0_gn41.92177199613255,0,81.92118998121252,1,14.635993223250674,1,104.65807170923873,1,88.52570158790388,1,72.43523912540145,34.38004512969464,14.635993223250674,104.65807170923873,1.0,90.02207848598805
base14562560_target610488320_lr0.003_shrink0.2_tkpm20.0_emb2048_head32_gw16.0_gn41.92177199613255,20,12.873066381105453,1,9.366207916295169,1,15.70446431931802,1,14.865751568566942,1,13.202372546321396,2.441920076049656,9.366207916295169,15.70446431931802,1.0,6.338256403022852
base14562560_target610488320_lr0.003_shrink0.2_tkpm20.0_emb2048_head32_gw16.0_gn41.92177199613255,50,13.188555234747534,1,11.776433585145535,1,13.52363134619567,1,13.23974472150658,1,12.93209122189883,0.6793174437894791,11.776433585145535,13.52363134619567,1.0,1.7471977610501348
base14562560_target610488320_lr0.003_shrink0.2_tkpm20.0_emb2048_head32_gw16.0_gn41.92177199613255,90,2.62985360040819,1,2.7454742754506913,1,2.9221881354181782,1,3.0690485331201227,1,2.8416411360992955,0.16755892148747523,2.62985360040819,3.0690485331201227,1.0,0.43919493271193266
base14562560_target610488320_lr0.003_shrink0.4_tkpm10.0_emb2048_head32_gw16.0_gn41.92177199613255,0,80.69863804898468,1,9.581829879850156,1,101.09392079633281,1,91.71876643946646,1,70.77328879115854,36.058844132518786,9.581829879850156,101.09392079633281,1.0,91.51209091648265
base14562560_target610488320_lr0.003_shrink0.4_tkpm10.0_emb2048_head32_gw16.0_gn41.92177199613255,20,5.214147453875821,1,1.7228850274936092,1,6.542888627290047,1,6.361510889991642,1,4.960357999662779,1.9373482483830131,1.7228850274936092,6.542888627290047,1.0,4.820003599796438
